Player,Team,RAA,Wins,EFscore,Salary,Value
P Negi,Royal Challengers Bangalore,-46,-0.16,0.008,156250.0,382870.0
PJ Sangwan,Mumbai Indians,-46,-0.162,0.001,234380.0,379952.0
C Munro,Delhi Daredevils,-47,-0.163,0.013000000000000001,296880.0,378494.0
K Khejroliya,Royal Challengers Bangalore,-47,-0.16399999999999998,0.012,15000.0,377035.0
MP Stoinis,Kings XI Punjab,-48,-0.16899999999999998,0.034,968750.0,369742.0
Sandeep Sharma,Sunrisers Hyderabad,-50,-0.172,0.081,468750.0,365366.0
JPR Scantlebury-Sear,Kolkata Knight Riders,-51,-0.17600000000000002,0.013000000000000001,,359532.0
SP Narine,Kolkata Knight Riders,-54,-0.188,0.18100000000000002,1953130.0,342028.0
Ishan Kishan,Mumbai Indians,-54,-0.18899999999999997,0.053,968750.0,340569.0
M Vohra,Royal Challengers Bangalore,-55,-0.191,0.01,171880.0,337652.0
Mohammad Nabi,Sunrisers Hyderabad,-56,-0.19699999999999998,0.009000000000000001,156250.0,328900.0
RV Uthappa,Kolkata Knight Riders,-61,-0.21100000000000002,0.07,1000000.0,308480.0
Mustafizur Rahman,Mumbai Indians,-62,-0.217,0.045,343750.0,299728.0
KA Pollard,Mumbai Indians,-64,-0.223,0.025,843750.0,290976.0
DS Kulkarni,Rajasthan Royals,-65,-0.22699999999999998,0.028999999999999998,117190.0,285141.0
S Nadeem,Delhi Daredevils,-71,-0.24600000000000002,0.017,500000.0,257427.0
BB Sran,Kings XI Punjab,-73,-0.253,0.042,180000.0,247217.0
MA Wood,Chennai Super Kings,-74,-0.259,0.001,234380.0,238465.0
Shakib Al Hasan,Sunrisers Hyderabad,-75,-0.26,0.136,312500.0,237007.0
B Kumar,Sunrisers Hyderabad,-80,-0.278,0.07400000000000001,1328130.0,210751.0
Mohammed Shami,Delhi Daredevils,-80,-0.27899999999999997,0.021,708000.0,209293.0
RK Singh,Kolkata Knight Riders,-81,-0.281,0.004,125000.0,206375.0
SW Billings,Chennai Super Kings,-84,-0.293,0.02,156250.0,188872.0
AJ Finch,Kings XI Punjab,-86,-0.298,0.027999999999999997,968750.0,181579.0
SN Khan,Royal Challengers Bangalore,-86,-0.3,0.009000000000000001,468750.0,178661.0
Avesh Khan,Delhi Daredevils,-91,-0.318,0.026000000000000002,109380.0,152406.0
CJ Anderson,Royal Challengers Bangalore,-93,-0.324,0.018000000000000002,150000.0,143654.0
K Gowtham,Rajasthan Royals,-94,-0.326,0.087,968750.0,140737.0
Washington Sundar,Royal Challengers Bangalore,-94,-0.326,0.036000000000000004,500000.0,140737.0
Yuvraj Singh,Kings XI Punjab,-94,-0.32799999999999996,0.017,312500.0,137820.0
DJ Bravo,Chennai Super Kings,-96,-0.33299999999999996,0.107,1000000.0,130527.0
STR Binny,Rajasthan Royals,-97,-0.337,0.006999999999999999,78130.0,124692.0
WP Saha,Sunrisers Hyderabad,-98,-0.34,0.019,781250.0,120316.0
GJ Maxwell,Delhi Daredevils,-98,-0.342,0.06,1406250.0,117399.0
Harbhajan Singh,Chennai Super Kings,-102,-0.354,0.059000000000000004,312500.0,99895.0
PP Chawla,Kolkata Knight Riders,-104,-0.36,0.083,656250.0,91143.0
MM Sharma,Kings XI Punjab,-112,-0.39,0.051,375000.0,47385.0
TG Southee,Royal Challengers Bangalore,-119,-0.413,0.051,156250.0,13836.0
BCJ Cutting,Mumbai Indians,-124,-0.431,0.033,343750.0,-12419.0
LE Plunkett,Delhi Daredevils,-138,-0.479,0.026000000000000002,,-82434.0
MG Johnson,Kolkata Knight Riders,-138,-0.48100000000000004,0.024,312500.0,-85351.0
MA Agarwal,Kings XI Punjab,-154,-0.5379999999999999,0.016,156250.0,-168493.0
Shivam Mavi,Kolkata Knight Riders,-190,-0.662,0.038,468750.0,-349363.0
AR Patel,Kings XI Punjab,-191,-0.665,0.039,1953130.0,-353739.0
JD Unadkat,Rajasthan Royals,-204,-0.7120000000000001,0.079,1796880.0,-422295.0
BA Stokes,Rajasthan Royals,-207,-0.72,0.078,1953130.0,-433964.0
R Ashwin,Kings XI Punjab,-215,-0.747,0.07200000000000001,1187500.0,-473347.0
DA Warner,Sunrisers Hyderabad,410,1.4140000000000001,0.22399999999999998,1953130.0,2742662.0
AD Russell,Kolkata Knight Riders,307,1.06,0.242,1328130.0,2200658.0
MS Dhoni,Chennai Super Kings,305,1.053,0.17600000000000002,2343750.0,2189940.0
Imran Tahir,Chennai Super Kings,295,1.018,0.2,156250.0,2136352.0
KL Rahul,Kings XI Punjab,288,0.9940000000000001,0.217,1718750.0,2099606.0
K Rabada,Delhi Capitals,268,0.925,0.196,656250.0,1993961.0
KK Ahmed,Sunrisers Hyderabad,253,0.873,0.166,468750.0,1914345.0
JM Bairstow,Sunrisers Hyderabad,223,0.77,0.132,314300.0,1756643.0
AB de Villiers,Royal Challengers Bangalore,192,0.664,0.139,1718750.0,1594348.0
HH Pandya,Mumbai Indians,165,0.568,0.204,1718750.0,1447364.0
S Gopal,Rajasthan Royals,161,0.555,0.166,31250.0,1427460.0
CH Gayle,Kings XI Punjab,157,0.542,0.133,312500.0,1407556.0
Q de Kock,Mumbai Indians,141,0.486,0.11699999999999999,437500.0,1321815.0
RR Pant,Delhi Capitals,127,0.44,0.114,2343750.0,1251385.0
JJ Bumrah,Mumbai Indians,127,0.43799999999999994,0.139,1093750.0,1248323.0
RA Jadeja,Chennai Super Kings,126,0.433,0.14300000000000002,1093750.0,1240667.0
MK Pandey,Sunrisers Hyderabad,122,0.42100000000000004,0.11199999999999999,1718750.0,1222294.0
SV Samson,Rajasthan Royals,120,0.415,0.086,1250000.0,1213108.0
JC Buttler,Rajasthan Royals,117,0.40299999999999997,0.094,687500.0,1194735.0
F du Plessis,Chennai Super Kings,114,0.392,0.10099999999999999,250000.0,1177893.0
Harbhajan Singh,Chennai Super Kings,112,0.386,0.129,312500.0,1168706.0
S Dhawan,Delhi Capitals,105,0.36200000000000004,0.11900000000000001,812500.0,1131960.0
DL Chahar,Chennai Super Kings,98,0.337,0.162,125000.0,1093683.0
AS Joseph,Mumbai Indians,97,0.336,0.063,,1092152.0
SPD Smith,Rajasthan Royals,97,0.335,0.08,1953130.0,1090621.0
SA Yadav,Mumbai Indians,91,0.315,0.111,500000.0,1059999.0
V Kohli,Royal Challengers Bangalore,76,0.261,0.094,2656250.0,977321.0
YS Chahal,Royal Challengers Bangalore,76,0.261,0.134,937500.0,977321.0
N Rana,Kolkata Knight Riders,75,0.258,0.11199999999999999,531250.0,972727.0
Shubman Gill,Kolkata Knight Riders,74,0.256,0.08,281250.0,969665.0
Mohammed Shami,Kings XI Punjab,69,0.23800000000000002,0.131,685700.0,942106.0
SN Khan,Kings XI Punjab,63,0.218,0.055,35700.0,911484.0
O Thomas,Rajasthan Royals,63,0.21600000000000005,0.038,157100.0,908422.0
AM Rahane,Rajasthan Royals,60,0.20800000000000002,0.10300000000000001,625000.0,896173.0
JC Archer,Rajasthan Royals,59,0.205,0.10400000000000001,1125000.0,891580.0
KD Karthik,Kolkata Knight Riders,59,0.203,0.075,1156250.0,888518.0
KA Pollard,Mumbai Indians,57,0.19699999999999998,0.076,843750.0,879331.0
MM Ali,Royal Challengers Bangalore,52,0.179,0.10400000000000001,265630.0,851772.0
SS Iyer,Delhi Capitals,47,0.162,0.102,1093750.0,825743.0
CA Lynn,Kolkata Knight Riders,44,0.153,0.095,1500000.0,811963.0
DW Steyn,Royal Challengers Bangalore,42,0.145,0.031,345000.0,799715.0
J Suchith,Delhi Capitals,33,0.115,0.021,16667.0,753782.0
RV Uthappa,Kolkata Knight Riders,32,0.11199999999999999,0.07200000000000001,1000000.0,749189.0
MJ Santner,Chennai Super Kings,32,0.111,0.044000000000000004,78130.0,747658.0
I Sharma,Delhi Capitals,30,0.102,0.086,157100.0,733878.0
Mandeep Singh,Kings XI Punjab,28,0.09699999999999999,0.040999999999999995,218750.0,726223.0
IS Sodhi,Rajasthan Royals,23,0.08,0.027999999999999997,69573.0,700194.0
MA Agarwal,Kings XI Punjab,22,0.076,0.066,156250.0,694070.0
SL Malinga,Mumbai Indians,22,0.075,0.10400000000000001,285700.0,692539.0
AS Roy,Mumbai Indians,20,0.068,0.004,31250.0,681821.0
MP Stoinis,Royal Challengers Bangalore,19,0.064,0.075,968750.0,675697.0
RG Sharma,Mumbai Indians,17,0.057999999999999996,0.09699999999999999,2343750.0,666510.0
Gurkeerat Singh,Royal Challengers Bangalore,15,0.051,0.019,71400.0,655793.0
RD Chahar,Mumbai Indians,14,0.049,0.106,296880.0,652731.0
R Tewatia,Delhi Capitals,13,0.044000000000000004,0.024,468750.0,645075.0
M Vijay,Chennai Super Kings,9,0.028999999999999998,0.016,312500.0,622109.0
VR Aaron,Rajasthan Royals,5,0.017,0.027999999999999997,342900.0,603736.0
Mohammad Nabi,Sunrisers Hyderabad,4,0.013999999999999999,0.077,156250.0,599143.0
A Mishra,Delhi Capitals,4,0.012,0.073,625000.0,596080.0
N Pooran,Kings XI Punjab,2,0.006,0.046,600000.0,586894.0
MM Sharma,Chennai Super Kings,1,0.003,0.006,714300.0,582301.0
Rashid Khan,Sunrisers Hyderabad,-4,-0.015,0.114,1406250.0,554741.0
Sandeep Sharma,Sunrisers Hyderabad,-4,-0.015,0.083,468750.0,554741.0
KV Sharma,Chennai Super Kings,-5,-0.018000000000000002,0.004,478000.0,550148.0
CV Varun,Kings XI Punjab,-7,-0.025,0.006999999999999999,1200000.0,539430.0
MJ Guptill,Sunrisers Hyderabad,-7,-0.025,0.016,142900.0,539430.0
DA Miller,Kings XI Punjab,-9,-0.031,0.046,468750.0,530244.0
Ishan Kishan,Mumbai Indians,-10,-0.034,0.033,968750.0,525651.0
P Simran Singh,Kings XI Punjab,-12,-0.04,0.005,685700.0,516464.0
SD Lad,Mumbai Indians,-13,-0.044000000000000004,0.002,31250.0,510340.0
Yuvraj Singh,Mumbai Indians,-13,-0.045,0.022000000000000002,142900.0,508809.0
SC Kuggeleijn,Chennai Super Kings,-14,-0.047,0.017,,505746.0
PA Patel,Royal Challengers Bangalore,-15,-0.053,0.087,265630.0,496560.0
S Lamichhane,Delhi Capitals,-16,-0.055,0.051,31250.0,493498.0
R Parag,Rajasthan Royals,-16,-0.057,0.059000000000000004,28600.0,490436.0
Washington Sundar,Royal Challengers Bangalore,-18,-0.061,0.023,500000.0,484311.0
K Khejroliya,Royal Challengers Bangalore,-18,-0.063,0.006999999999999999,15000.0,481249.0
RK Singh,Kolkata Knight Riders,-18,-0.064,0.006999999999999999,125000.0,479718.0
MK Lomror,Rajasthan Royals,-20,-0.068,0.001,31250.0,473594.0
Arshdeep Singh,Kings XI Punjab,-21,-0.07200000000000001,0.022000000000000002,28600.0,467469.0
NS Naik,Kolkata Knight Riders,-21,-0.07200000000000001,0.002,28600.0,467469.0
RK Bhui,Sunrisers Hyderabad,-21,-0.07200000000000001,0.002,31250.0,467469.0
SO Hetmyer,Royal Challengers Bangalore,-21,-0.07200000000000001,0.019,600000.0,467469.0
J Yadav,Mumbai Indians,-21,-0.073,0.008,78130.0,465938.0
DR Shorey,Chennai Super Kings,-23,-0.078,0.001,31250.0,458283.0
KK Nair,Kings XI Punjab,-23,-0.078,0.0,875000.0,458283.0
JP Behrendorff,Mumbai Indians,-23,-0.081,0.039,234380.0,453690.0
KC Cariappa,Kolkata Knight Riders,-24,-0.083,0.002,120000.0,450627.0
Avesh Khan,Delhi Capitals,-25,-0.086,0.003,109380.0,446034.0
LS Livingstone,Rajasthan Royals,-25,-0.087,0.013999999999999999,71400.0,444503.0
RA Tripathi,Rajasthan Royals,-25,-0.08800000000000001,0.03,531250.0,442972.0
S Midhun,Rajasthan Royals,-26,-0.09,0.001,31250.0,439910.0
Y Prithvi Raj,Kolkata Knight Riders,-26,-0.091,0.009000000000000001,28600.0,438379.0
C Munro,Delhi Capitals,-27,-0.09300000000000001,0.025,296880.0,435317.0
JL Denly,Kolkata Knight Riders,-28,-0.096,0.0,142900.0,430723.0
SW Billings,Chennai Super Kings,-28,-0.096,0.0,156250.0,430723.0
Harpreet Brar,Kings XI Punjab,-28,-0.09699999999999999,0.006999999999999999,28600.0,429192.0
S Sandeep Warrier,Kolkata Knight Riders,-29,-0.098,0.021,16000.0,427661.0
STR Binny,Rajasthan Royals,-30,-0.105,0.022000000000000002,78130.0,416943.0
Rasikh Salam,Mumbai Indians,-34,-0.11699999999999999,0.003,28600.0,398570.0
S Nadeem,Sunrisers Hyderabad,-35,-0.11900000000000001,0.01,500000.0,395508.0
E Lewis,Mumbai Indians,-35,-0.121,0.017,593750.0,392446.0
HF Gurney,Kolkata Knight Riders,-36,-0.124,0.047,107100.0,387853.0
BCJ Cutting,Mumbai Indians,-37,-0.127,0.006,343750.0,383260.0
TA Boult,Delhi Capitals,-38,-0.131,0.032,343750.0,377135.0
KS Williamson,Sunrisers Hyderabad,-38,-0.132,0.031,468750.0,375604.0
Abhishek Sharma,Sunrisers Hyderabad,-39,-0.134,0.006,85940.0,372542.0
SK Raina,Chennai Super Kings,-39,-0.135,0.069,1718750.0,371011.0
HV Patel,Delhi Capitals,-41,-0.142,0.015,31250.0,360293.0
CH Morris,Delhi Capitals,-44,-0.152,0.094,1718750.0,344982.0
SR Watson,Chennai Super Kings,-46,-0.158,0.087,625000.0,335796.0
H Klaasen,Royal Challengers Bangalore,-46,-0.16,0.001,71400.0,332734.0
BB Sran,Mumbai Indians,-47,-0.162,0.002,485700.0,329672.0
S Dube,Royal Challengers Bangalore,-50,-0.17300000000000001,0.008,714300.0,312830.0
AT Rayudu,Chennai Super Kings,-51,-0.175,0.065,343750.0,309768.0
YK Pathan,Sunrisers Hyderabad,-51,-0.177,0.011000000000000001,296880.0,306705.0
M Markande,Mumbai Indians,-52,-0.179,0.006999999999999999,31250.0,303643.0
SM Curran,Kings XI Punjab,-53,-0.182,0.09,1028600.0,299050.0
WP Saha,Sunrisers Hyderabad,-53,-0.182,0.013000000000000001,171400.0,299050.0
Shakib Al Hasan,Sunrisers Hyderabad,-57,-0.198,0.013999999999999999,312500.0,274553.0
BA Stokes,Rajasthan Royals,-58,-0.2,0.067,1953130.0,271490.0
KMA Paul,Delhi Capitals,-59,-0.205,0.06,71400.0,263835.0
GH Vihari,Delhi Capitals,-60,-0.209,0.0,285700.0,257711.0
AS Rajpoot,Kings XI Punjab,-63,-0.217,0.022000000000000002,468750.0,245462.0
PP Shaw,Delhi Capitals,-63,-0.217,0.063,187500.0,245462.0
SN Thakur,Chennai Super Kings,-63,-0.217,0.062,406250.0,245462.0
C de Grandhomme,Royal Challengers Bangalore,-63,-0.21899999999999997,0.013000000000000001,343750.0,242400.0
DJ Bravo,Chennai Super Kings,-64,-0.21899999999999997,0.087,1000000.0,242400.0
P Ray Barman,Royal Challengers Bangalore,-65,-0.223,0.005,214300.0,236275.0
CA Ingram,Delhi Capitals,-66,-0.226,0.034,914300.0,231682.0
DJ Hooda,Sunrisers Hyderabad,-67,-0.231,0.021,562500.0,224027.0
GC Viljoen,Kings XI Punjab,-68,-0.23600000000000002,0.04,107100.0,216371.0
R Ashwin,Kings XI Punjab,-69,-0.237,0.083,1187500.0,214840.0
CR Brathwaite,Kolkata Knight Riders,-70,-0.243,0.003,714300.0,205654.0
TG Southee,Royal Challengers Bangalore,-73,-0.253,0.012,156250.0,190343.0
AD Nath,Royal Challengers Bangalore,-78,-0.268,0.011000000000000001,514300.0,167377.0
AJ Turner,Rajasthan Royals,-80,-0.27699999999999997,0.001,71400.0,153597.0
Mohammed Siraj,Royal Challengers Bangalore,-85,-0.292,0.054000000000000006,406250.0,130631.0
KM Jadhav,Chennai Super Kings,-88,-0.302,0.038,1218750.0,115320.0
SE Rutherford,Delhi Capitals,-92,-0.317,0.022000000000000002,285700.0,92353.0
S Kaul,Sunrisers Hyderabad,-96,-0.332,0.042,593750.0,69387.0
MJ McClenaghan,Mumbai Indians,-97,-0.336,0.027000000000000003,50000.0,63263.0
V Shankar,Sunrisers Hyderabad,-99,-0.34299999999999997,0.055999999999999994,500000.0,52545.0
NA Saini,Royal Challengers Bangalore,-102,-0.35100000000000003,0.08,468750.0,40297.0
Basil Thampi,Sunrisers Hyderabad,-108,-0.373,0.005,148440.0,6613.0
AR Patel,Delhi Capitals,-114,-0.395,0.092,714300.0,-27071.0
SP Narine,Kolkata Knight Riders,-115,-0.396,0.098,1953130.0,-28602.0
P Negi,Royal Challengers Bangalore,-118,-0.406,0.019,156250.0,-43913.0
KH Pandya,Mumbai Indians,-118,-0.408,0.11599999999999999,1375000.0,-46975.0
Mujeeb Ur Rahman,Kings XI Punjab,-120,-0.41200000000000003,0.024,625000.0,-53100.0
LH Ferguson,Kolkata Knight Riders,-123,-0.423,0.015,228600.0,-69942.0
M Ashwin,Kings XI Punjab,-133,-0.45899999999999996,0.035,28600.0,-125061.0
PP Chawla,Kolkata Knight Riders,-135,-0.466,0.068,656250.0,-135778.0
JD Unadkat,Rajasthan Royals,-135,-0.467,0.057,1200000.0,-137309.0
UT Yadav,Royal Challengers Bangalore,-141,-0.486,0.06,656250.0,-166400.0
AJ Tye,Kings XI Punjab,-145,-0.5,0.022000000000000002,1125000.0,-187835.0
DS Kulkarni,Rajasthan Royals,-155,-0.534,0.044000000000000004,117190.0,-239892.0
B Kumar,Sunrisers Hyderabad,-158,-0.544,0.095,1328130.0,-255203.0
Kuldeep Yadav,Kolkata Knight Riders,-159,-0.5489999999999999,0.023,906250.0,-262858.0
K Gowtham,Rajasthan Royals,-201,-0.695,0.016,968750.0,-486397.0
M Prasidh Krishna,Kolkata Knight Riders,-276,-0.9520000000000001,0.04,15620.0,-879886.0
JJ Bumrah,Mumbai Indians,379,1.281,0.23800000000000002,1093750.0,2448655.0
KL Rahul,Kings XI Punjab,330,1.113,0.19399999999999998,1718750.0,2204319.0
K Rabada,Delhi Capitals,320,1.082,0.23199999999999998,656250.0,2159233.0
Ishan Kishan,Mumbai Indians,261,0.8809999999999999,0.157,968750.0,1866902.0
S Dhawan,Delhi Capitals,249,0.8420000000000001,0.168,812500.0,1810181.0
TA Boult,Mumbai Indians,230,0.777,0.177,460000.0,1715646.0
AB de Villiers,Royal Challengers Bangalore,227,0.767,0.142,1718750.0,1701102.0
SA Yadav,Mumbai Indians,225,0.759,0.13699999999999998,500000.0,1689467.0
JO Holder,Sunrisers Hyderabad,181,0.613,0.132,105000.0,1477128.0
DA Warner,Sunrisers Hyderabad,178,0.602,0.142,1953130.0,1461129.0
YS Chahal,Royal Challengers Bangalore,177,0.599,0.156,937500.0,1456766.0
MA Agarwal,Kings XI Punjab,169,0.57,0.11699999999999999,156250.0,1414589.0
F du Plessis,Chennai Super Kings,165,0.5579999999999999,0.12300000000000001,250000.0,1397137.0
WP Saha,Sunrisers Hyderabad,157,0.531,0.086,171400.0,1357868.0
JC Archer,Rajasthan Royals,156,0.528,0.18899999999999997,1125000.0,1353505.0
V Kohli,Royal Challengers Bangalore,154,0.52,0.11800000000000001,2656250.0,1341870.0
Rashid Khan,Sunrisers Hyderabad,152,0.513,0.165,1406250.0,1331689.0
EJG Morgan,Kolkata Knight Riders,134,0.45399999999999996,0.126,750000.0,1245881.0
Shubman Gill,Kolkata Knight Riders,128,0.4320000000000001,0.109,281250.0,1213885.0
KS Williamson,Sunrisers Hyderabad,123,0.415,0.092,468750.0,1189160.0
SS Iyer,Delhi Capitals,122,0.41200000000000003,0.125,1093750.0,1184797.0
RD Gaikwad,Chennai Super Kings,119,0.402,0.08199999999999999,28600.0,1170253.0
CH Gayle,Kings XI Punjab,113,0.381,0.087,312500.0,1139711.0
CV Varun,Kolkata Knight Riders,109,0.368,0.135,1200000.0,1120804.0
Mohammed Shami,Kings XI Punjab,105,0.355,0.146,685700.0,1101897.0
MP Stoinis,Delhi Capitals,104,0.353,0.153,685700.0,1098988.0
AT Rayudu,Chennai Super Kings,104,0.35,0.096,343750.0,1094625.0
Q de Kock,Mumbai Indians,101,0.341,0.124,437500.0,1081536.0
A Nortje,Delhi Capitals,101,0.34,0.16,28600.0,1080081.0
L Ngidi,Chennai Super Kings,96,0.325,0.073,78130.0,1058266.0
MK Pandey,Sunrisers Hyderabad,85,0.28600000000000003,0.115,1718750.0,1001545.0
Mohammed Siraj,Royal Challengers Bangalore,78,0.263,0.07400000000000001,406250.0,968094.0
